transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_fraud
TXN-88462100DBB5,USR0061,4218.78,2024-01-16T11:05:26,bangalore,JAI,Food,DEV-7A503EC5,mobile,,9431.29,pending,23.174.159.120,,0
TXN-C7E3CD5F3986,USR0037,5053.21,2024-02-05T03:18:28,chennai,pune,,DEV-7B5E6474,desktop,UPI,97398.62,pending,115.166.216.73,,1
TXN-89260517D947,USR0051,,2024-03-15T14:01:11,JAI,bangalore,Food,DEV-59704BD1,desktop,Wallet,89955.55,success,76.121.141.217,,0
TXN-2B3B16CDF051,USR0074,10528.63,2024-04-08T14:42:25,kolkata,pune,,DEV-24FC48C1,desktop,Card,164388.92,success,116.17.146.87,,0
TXN-93EC9AAE4322,USR0031,8784.7517434842,2024-04-03T05:35:51,delhi,JAI,Travel,DEV-91FA18A8,tablet,NetBanking,113154.05,pending,136.102.213.81,,0
TXN-68457856CF38,USR0008,14052.23,2024-03-29T02:25:46,pune,delhi,Groceries,DEV-DA854B00,desktop,NetBanking,151846.87,failed,215.22.177.45,,0
TXN-6E5D9DA27137,USR0070,376.98,2024-03-04T15:54:17,mumbai,chennai,Travel,DEV-DF563481,desktop,Card,146635.38,success,35.56.16.147,,0
TXN-D62F312E840A,USR0005,477.67,2024-04-24T11:35:17,JAI,kolkata,Groceries,DEV-777E21B9,desktop,UPI,169951.41,failed,134.85.231.120,,0
TXN-2C63EFC13276,USR0009,6667.0293,2024-03-16T05:59:00,chennai,ahmedabad,Gaming,DEV-9C57AC0C,desktop,Wallet,70958.77,pending,46.188.98.95,,0
TXN-BB2EC51DC1CC,USR0094,11724.43,2024-01-30T18:10:02,chennai,bangalore,Groceries,DEV-496D0D23,desktop,NetBanking,119271.36,success,24.95.2.208,,1
TXN-AE162B64F986,USR0003,₹11278,2024-04-15T10:01:22,kolkata,hyd,,DEV-E73896BE,mobile,Card,146189.18,pending,139.228.200.222,,0
TXN-D64285AC86D4,USR0067,9464.2677,2024-02-12T08:01:56,hyd,kolkata,Food,DEV-8ECA8308,mobile,UPI,89749.86,success,,,0
TXN-A6B0290DF944,USR0031,Rs 14434,2024-02-27T12:54:57,chennai,mumbai,Fashion,DEV-02810FDE,tablet,Wallet,152167.57,success,3.110.33.165,1650.9698,1
TXN-77D3B822BEF8,USR0008,9786.4469230548,2024-02-22T01:28:31,hyd,kolkata,Electronics,DEV-8D8E6CCE,tablet,Wallet,92887.01,failed,142.12.26.112,,0
TXN-7708D52C54F5,USR0103,4247.9231743219,2024-04-28T01:11:30,bangalore,ahmedabad,Groceries,DEV-378A6E8B,desktop,Wallet,152282.93,pending,46.114.156.218,,0
TXN-9C9CE2964B84,USR0111,Rs 12415,2024-02-15T21:11:04,bangalore,JAI,Fashion,DEV-2E8C1F68,mobile,NetBanking,96488.33,success,124.14.173.20,,0
TXN-ABD56890DAF7,USR0039,1282.99,2024-01-27T02:58:44,kolkata,JAI,Travel,DEV-A2942644,tablet,,67203.26,success,31.244.49.61,,0
TXN-66D410A9688D,USR0010,Rs 11156,2024-02-03T20:07:09,pune,kolkata,Gaming,DEV-BE8F90F0,tablet,,79838.92,failed,85.133.250.14,Rs 14916,0
TXN-B44D352B8E2B,USR0023,9051.3046,2024-03-19T12:57:01,kolkata,kolkata,Travel,DEV-C95B0F02,desktop,UPI,43545.41,failed,147.182.202.15,,0
TXN-C6557DD63AD1,USR0001,14075.9151,2024-03-19T21:18:41,ahmedabad,kolkata,,DEV-CDEF0640,desktop,UPI,64457.22,failed,19.244.225.36,1815.6705,0
TXN-CFFF544B5D5E,USR0044,Rs 1876,2024-02-22T18:35:21,bangalore,kolkata,,DEV-7FDAE596,desktop,UPI,71707.97,pending,57.193.50.99,,1
TXN-947D73C41C97,USR0081,5278.46,2024-04-17T02:38:41,delhi,hyd,Gaming,,mobile,UPI,125038.65,failed,203.40.62.48,,0
TXN-CE75ABB78048,USR0048,4509.08,2024-03-19T13:05:45,kolkata,ahmedabad,Electronics,DEV-F44AABC1,tablet,UPI,166675.45,failed,235.149.156.239,,0
TXN-4CC005091388,USR0029,11498.6680365491,2024-01-17T02:00:28,pune,mumbai,Groceries,DEV-5C61B269,mobile,Card,92726.65,failed,134.174.10.192,,0
TXN-D025EB0F8044,USR0058,14298.8069,2024-02-16T07:12:58,JAI,mumbai,Food,DEV-A5130C0D,desktop,NetBanking,135221.77,success,214.13.118.197,,0
TXN-DABF6EC3E33C,USR0093,₹6574,2024-02-20T20:07:54,hyd,delhi,Travel,DEV-914A2E53,desktop,,24726.78,pending,141.108.148.127,,0
TXN-C77B8D5177B8,USR0095,12114.88,2024-02-18T01:10:59,hyd,pune,Groceries,DEV-413B2E18,mobile,UPI,164647.86,pending,211.39.24.216,,0
TXN-F188E20D0B71,USR0094,₹8741,2024-01-13T16:07:01,ahmedabad,chennai,Travel,,tablet,Wallet,,failed,89.40.179.113,,0
TXN-0814D087B6DD,USR0117,8898.9783533771,2024-02-11T15:11:19,pune,bangalore,Travel,DEV-8249A769,tablet,NetBanking,71650.33,failed,194.239.131.253,,0
TXN-5B231B4F43E2,USR0041,14120.9624529151,2024-02-27T07:05:33,delhi,delhi,Groceries,DEV-C487BB6C,tablet,,36558.17,success,110.99.134.133,,0
TXN-2134B698067C,USR0020,₹13233,2024-04-15T23:52:36,mumbai,kolkata,Groceries,DEV-9C48D1D5,mobile,Card,113085.7,pending,196.63.196.5,,0
TXN-F290661E90F2,USR0078,3528.3577,2024-01-02T04:53:59,ahmedabad,mumbai,Travel,DEV-97FFCF68,mobile,Card,108299.34,failed,229.94.56.225,,0
TXN-854E1EC840FF,USR0083,6539.254674947,2024-03-12T00:25:05,hyd,kolkata,Gaming,DEV-B96CAEBF,mobile,Wallet,174832.24,success,135.188.151.228,5943.21,0
TXN-893153C645F2,USR0060,13252.3863001142,2024-04-29T15:00:20,pune,mumbai,Groceries,DEV-B08D0E34,tablet,UPI,38720.15,success,9.222.9.48,Rs 4558,1
TXN-CC55D74C7F70,USR0007,₹5692,2024-01-30T13:44:20,bangalore,delhi,Food,DEV-DF0AD6CC,mobile,,197984.57,pending,126.190.116.170,,0
TXN-B754DF6D36CA,USR0013,4698.5146,2024-04-14T23:51:57,delhi,hyd,Gaming,DEV-ECDF93F0,desktop,Card,49430.7,failed,95.137.25.91,₹12016,0
TXN-97004A1F97ED,USR0098,₹555,2024-01-22T13:55:19,delhi,ahmedabad,Travel,DEV-12037A29,tablet,Wallet,131604.09,success,215.24.153.165,,1
TXN-7A963E007F4F,USR0049,13698.9338517766,2024-03-16T14:33:07,hyd,ahmedabad,Groceries,DEV-800337A8,tablet,,71401.56,pending,92.34.193.216,,0
TXN-0CD409F8E123,USR0042,5852.8746757175,2024-01-24T00:03:34,delhi,bangalore,Travel,DEV-6914B0B2,mobile,Card,136129.23,pending,188.88.87.57,,0
TXN-96B45768B9ED,USR0052,9024.1766,2024-02-07T11:01:41,bangalore,JAI,Fashion,DEV-F968D27E,desktop,,161007.33,failed,30.192.168.1,,0
TXN-D13A281517F7,USR0088,3503.94,2024-01-31T15:41:56,chennai,mumbai,Electronics,DEV-5E3D475E,mobile,Wallet,40699.07,success,246.195.80.236,,0
TXN-4FAF8D882E5E,USR0018,4639.4,2024-04-19T06:00:45,chennai,bangalore,Travel,DEV-BEC6AC4A,mobile,,83983.42,failed,42.179.34.33,,0
TXN-700BA4595570,USR0106,,2024-04-01T19:41:49,ahmedabad,delhi,Fashion,DEV-8927F90A,desktop,,29634.92,failed,247.135.252.248,,0
TXN-1468E1CE8618,USR0011,14780.7510648465,2024-03-07T15:32:56,mumbai,kolkata,Gaming,DEV-BEC719A3,desktop,NetBanking,56938.07,pending,194.23.223.102,11929.5444,1
TXN-7225EE74279B,USR0027,₹12037,2024-03-14T07:46:29,bangalore,JAI,Groceries,DEV-D45E0169,desktop,Wallet,75960.45,success,165.96.176.131,,0
TXN-AE9323D94A60,USR0083,14104.17615838,2024-04-29T20:05:57,pune,delhi,Fashion,DEV-818024ED,tablet,UPI,184908.51,pending,127.166.171.140,,1
TXN-44AC44ACD7F9,USR0059,,2024-02-01T11:54:28,kolkata,JAI,Travel,,tablet,Wallet,101758.04,success,189.163.64.114,,0
TXN-94DC50E9243E,USR0056,3197.62,2024-03-16T08:37:38,ahmedabad,delhi,Food,DEV-2E3E2AB4,desktop,,178357.99,pending,101.70.138.220,,1
TXN-28AC1A866392,USR0047,11697.3640514069,2024-03-05T02:34:54,chennai,mumbai,Gaming,DEV-C2316C15,desktop,NetBanking,52750.55,success,136.139.73.7,,0
TXN-791C8F151BC5,USR0062,₹3192,2024-01-08T12:14:37,hyd,JAI,Groceries,DEV-E7E53FBD,mobile,Card,75219.78,failed,,,0
TXN-74E644860967,USR0089,14473.4149796076,08-04-2024 07:53,delhi,pune,Electronics,DEV-402FE859,tablet,,13107.1,failed,29.237.111.1,,0
TXN-AFC9EF88235C,USR0025,1897.38,2024-01-20T17:42:44,pune,ahmedabad,Gaming,DEV-95DBF39A,desktop,UPI,,pending,19.123.98.37,,0
TXN-635481478E15,USR0033,₹11516,2024-03-11T19:08:08,hyd,bangalore,Gaming,DEV-5FE49FC5,tablet,NetBanking,,failed,36.224.73.161,,0
TXN-D4BC57FA4BE0,USR0044,3115.44,2024-02-02T09:07:52,chennai,JAI,Travel,DEV-EF52579E,tablet,UPI,20438.19,failed,115.221.119.239,,0
TXN-58DE337ABB56,USR0030,3906.3430251803,2024-01-19T11:03:18,chennai,delhi,Gaming,DEV-229986AB,desktop,NetBanking,199077.54,pending,171.191.134.219,,0
TXN-635A0F961239,USR0007,12011.36,2024-04-08T18:26:31,delhi,mumbai,,DEV-83578E37,tablet,,185488.79,failed,9.245.66.160,,0
TXN-AA1F523F7EC8,USR0105,9622.225,2024-03-11T18:31:59,kolkata,kolkata,Gaming,DEV-A285B24C,tablet,Card,150932.9,failed,128.21.210.154,,0
TXN-EBD5D756FE59,USR0086,Rs 5999,2024-04-15T18:04:35,mumbai,pune,Gaming,DEV-CD3CC4DD,mobile,Wallet,189958.3,failed,250.235.18.41,,0
TXN-E3DE86CF383C,USR0115,9372.5095023337,2024-01-23T16:13:47,delhi,pune,Fashion,DEV-3C24E11A,mobile,Wallet,157005.2,success,240.102.43.113,,0
TXN-4E679F645C62,USR0037,8423.39,2024-01-17T01:57:19,ahmedabad,pune,Fashion,DEV-FAF1277F,desktop,Card,120054.91,pending,244.33.14.117,,1
TXN-DA14A80E047A,USR0033,3526.9719766723,2024-02-20T08:17:25,chennai,hyd,Electronics,DEV-A56BA471,desktop,,179988.06,success,6.55.179.107,,0
TXN-61720D2D730C,USR0071,13260.4211,2024-04-25T03:11:35,ahmedabad,hyd,Gaming,DEV-920DBD36,desktop,Wallet,125779.9,failed,150.89.220.222,,0
TXN-B36D4028901E,USR0073,788.9961022148,2024-04-14T02:56:51,delhi,chennai,Groceries,DEV-F399EAF8,tablet,NetBanking,60140.55,pending,67.242.228.22,,0
TXN-7D83AA8939BF,USR0056,3713.9076,2024-04-25T21:01:58,hyd,mumbai,Electronics,DEV-FE57AFAE,desktop,NetBanking,61851.62,failed,100.106.231.116,2495.7609238902,0
TXN-AC7466F75790,USR0061,,2024-03-10T12:46:52,kolkata,kolkata,Gaming,DEV-D76AD661,desktop,Card,121432.33,failed,55.10.66.40,,0
TXN-14C0208BDFF6,USR0095,Rs 3300,2024-01-07T17:35:23,JAI,hyd,,DEV-50C55188,mobile,,126450.29,failed,198.230.86.120,,0
TXN-4B09B34C296B,USR0003,unknown,2024-04-16T16:52:07,chennai,ahmedabad,,DEV-7FA71D41,tablet,NetBanking,27446.9,pending,110.25.221.40,,1
TXN-6DBE990C34FD,USR0118,6969.48,2024-01-26T04:15:07,bangalore,mumbai,Groceries,DEV-2B1CBFE9,mobile,Card,118318.19,failed,89.3.125.185,,0
TXN-277B2408695F,USR0112,10118.9,2024-04-18T13:42:03,ahmedabad,JAI,Travel,DEV-9371E8C7,desktop,NetBanking,31671.67,pending,106.243.145.156,,0
TXN-7D9196A89001,USR0113,2725.5424728179,2024-02-27T01:08:17,delhi,kolkata,Electronics,DEV-1151C2E4,desktop,UPI,14881.84,failed,139.100.128.131,,1
TXN-61980F46DB1E,USR0028,₹1019,2024-04-10T02:09:00,pune,ahmedabad,Food,DEV-A58A721B,desktop,NetBanking,166558.27,success,36.102.2.37,,0
TXN-34CABE6ECD90,USR0059,4299.14,2024-01-18T14:50:04,chennai,delhi,Food,,mobile,Card,194803.52,pending,99.233.118.115,,0
TXN-ABB1E7A07C1A,USR0039,₹9772,2024-01-13T07:58:39,kolkata,JAI,,DEV-177F94CA,tablet,Wallet,78310.9,success,27.91.230.138,,0
TXN-6D6153D2AC34,USR0077,14305.1999488956,2024-04-25T18:44:34,delhi,kolkata,Food,DEV-B670AB71,tablet,NetBanking,90800.58,pending,214.191.197.226,,0
TXN-6DE7A916D98C,USR0052,,2024-02-05T01:04:02,bangalore,pune,Electronics,DEV-A6DE4A7D,desktop,NetBanking,113440.78,pending,67.242.229.171,,0
TXN-102A036846D4,USR0115,5593.788931877,2024-01-04T03:28:52,kolkata,ahmedabad,,DEV-4F0629EA,desktop,UPI,158209.51,success,136.22.86.169,,0
TXN-8D18328B46D1,USR0074,7505.9111,2024-03-12T01:02:32,JAI,pune,Food,DEV-515BB858,desktop,,43437.92,pending,110.226.202.236,,0
TXN-DEEAACF18819,USR0056,₹6048,2024-04-04T00:09:27,bangalore,chennai,,,mobile,UPI,75611.39,failed,3.103.211.11,,1
TXN-65856CFD1EC6,USR0003,₹12698,2024-03-03T07:29:42,pune,delhi,Fashion,DEV-5D8C1147,tablet,Card,140313.83,success,100.230.193.100,,0
TXN-55319A3C6150,USR0045,1034.31,2024-01-01T17:38:03,kolkata,hyd,Gaming,DEV-B3403594,tablet,,163458.05,pending,13.194.6.51,,0
TXN-7644DE944B3B,USR0092,2235.816426367,2024-03-03T16:59:12,JAI,delhi,Food,,desktop,UPI,129082.51,pending,,,0
TXN-503057B72563,USR0107,5071.8965,27-01-2024 06:49,mumbai,ahmedabad,Fashion,DEV-C4F1D302,desktop,UPI,114174.08,failed,167.215.205.230,,0
TXN-F5ADACF9C58C,USR0001,,2024-02-26T15:31:30,bangalore,JAI,Groceries,DEV-7F0AFC3E,mobile,NetBanking,77059.3,success,204.9.158.91,,0
TXN-7724A24CF2FC,USR0012,4975.49,2024-02-05T13:22:54,ahmedabad,delhi,Fashion,DEV-ABB28DBA,desktop,UPI,86081.52,success,247.162.232.155,,0
TXN-13F2F3808A07,USR0012,₹1502,2024-03-21T14:50:35,bangalore,bangalore,Food,DEV-42F2C673,mobile,Wallet,119759.96,success,82.135.28.65,,0
TXN-5FBBF65BEADB,USR0058,5910.03,2024-04-28T20:20:26,hyd,chennai,,DEV-9181E695,tablet,Wallet,127210.58,success,127.162.239.78,,1
TXN-665E3693D884,USR0090,,2024-03-18T11:29:29,mumbai,hyd,Fashion,DEV-34CEF564,desktop,Card,36724.1,pending,161.168.157.224,,0
TXN-37AAE5C6C60E,USR0042,484.4779,2024-01-19T04:35:50,bangalore,JAI,Fashion,DEV-870E98DA,desktop,,63996.91,success,55.247.105.229,,1
TXN-0770707D55CD,USR0009,4200.2449442662,2024-02-24T16:59:54,bangalore,kolkata,Food,DEV-B3CA88B6,desktop,NetBanking,64044.65,failed,31.220.2.228,,0
TXN-EF68DC09815A,USR0061,9888.8554295569,2024-04-14T04:34:41,bangalore,JAI,Food,DEV-D376059A,tablet,UPI,198892.14,success,207.221.13.24,,0
TXN-7987EA2521F4,USR0005,,2024-01-30T12:38:39,JAI,hyd,Travel,DEV-A6E5C907,desktop,NetBanking,39442.09,success,28.145.243.3,,0
TXN-9296EED3E21C,USR0040,12120.09,2024-01-04T08:56:19,kolkata,hyd,Electronics,DEV-9A187AB1,mobile,,102739.37,failed,197.249.194.255,,0
TXN-08E622F0F087,USR0002,13673.13,2024-01-09T03:16:43,JAI,bangalore,Gaming,DEV-63BCC428,tablet,Wallet,71374.59,pending,248.22.197.253,,0
TXN-2536478EAA23,USR0017,₹9370,2024-03-18T02:32:17,chennai,ahmedabad,Groceries,,tablet,NetBanking,84112.91,success,157.239.164.135,,0
TXN-CE3D87580C78,USR0044,5667.63,2024-02-15T09:31:32,JAI,hyd,,DEV-34D3F880,desktop,UPI,176105.43,success,150.143.56.38,,0
TXN-D046466E2D6D,USR0010,10598.6676408863,2024-01-25T04:31:23,kolkata,mumbai,Fashion,DEV-653C8175,mobile,Wallet,6857.91,success,158.4.106.142,,0
TXN-D01B11320319,USR0095,,2024-04-18T18:49:05,kolkata,JAI,,DEV-B9800F33,desktop,Wallet,120549.09,pending,58.72.125.8,,0
TXN-0A38AE7DE67E,USR0031,Rs 2039,2024-02-11T12:45:40,chennai,kolkata,Gaming,DEV-992E5040,tablet,Wallet,181704.23,success,103.70.225.117,,0
TXN-70D0E45ED87A,USR0054,,2024-01-07T08:10:19,kolkata,JAI,Groceries,DEV-A62A2B61,tablet,Wallet,155529.45,success,109.3.39.236,,0
TXN-7C0CACF4CEB7,USR0091,12518.587,2024-03-29T07:17:11,kolkata,bangalore,Electronics,DEV-55FB0782,mobile,Card,48124.8,failed,7.244.11.193,,1
TXN-E48369674B97,USR0004,4659.12,2024-01-12T02:21:39,chennai,bangalore,Electronics,DEV-16BD17FD,tablet,Card,165940.61,pending,227.191.97.192,,0
TXN-41B6E825EC92,USR0062,,2024-04-25T02:37:35,hyd,mumbai,Travel,DEV-C0528E6B,desktop,,91194.84,failed,,,0
TXN-EEB2441D4FA5,USR0007,2977.0721279818,2024-03-14T21:35:50,delhi,hyd,Travel,DEV-5EAC5E1C,tablet,Wallet,15093.9,pending,44.90.121.253,,0
TXN-53999AD14343,USR0088,,2024-03-08T03:12:33,mumbai,mumbai,,DEV-2B38DB27,desktop,NetBanking,119638.02,failed,87.161.51.119,,0
TXN-A8669E6A7366,USR0026,4189.2038680896,2024-03-17T14:42:01,hyd,kolkata,Gaming,DEV-4AB6DAEB,desktop,Card,162090.57,pending,16.180.245.68,,1
TXN-3E8135745A34,USR0070,7470.88,2024-03-11T19:26:51,mumbai,hyd,Food,DEV-61DB000C,tablet,Card,105767.5,pending,193.227.134.70,231.94,0
TXN-5B725C6554BE,USR0115,,2024-01-01T22:18:49,mumbai,hyd,Electronics,DEV-DBBDAE24,tablet,UPI,,failed,103.46.158.52,,0
TXN-A461EE2433BC,USR0051,5197.77,2024-02-15T12:11:40,chennai,delhi,Groceries,DEV-C0B45ADE,mobile,,133975.87,success,200.186.22.168,,0
TXN-93372F8AF576,USR0047,₹2940,2024-02-23T20:01:59,ahmedabad,pune,Fashion,DEV-2CE67706,tablet,UPI,,failed,,,0
TXN-9B1BEFEAAF86,USR0116,,13-01-2024 15:15,JAI,delhi,Gaming,DEV-B268F267,desktop,,19348.68,success,217.152.211.97,,0
TXN-32DE508534AC,USR0065,₹3964,2024-01-22T12:06:30,mumbai,kolkata,Groceries,DEV-FD8A9459,desktop,UPI,46734.64,failed,11.23.130.11,,1
TXN-40751B0E962C,USR0120,12320.4831,2024-04-01T23:15:56,mumbai,delhi,Groceries,DEV-2F166CC8,desktop,NetBanking,29402.07,pending,54.111.243.126,,0
TXN-5B6DB96AEA1F,USR0008,2619.992823202,2024-03-01T19:31:34,mumbai,mumbai,Electronics,DEV-4B02038F,desktop,Wallet,65950.36,failed,233.115.162.108,,0
TXN-EA926CEF71C8,USR0063,11334.0452063222,2024-02-24T15:48:59,bangalore,mumbai,Fashion,DEV-9A5DF55B,tablet,NetBanking,149202.67,success,70.173.207.196,,0
TXN-4ED604A1F389,USR0026,8613.4656,2024-01-03T20:06:27,ahmedabad,JAI,Travel,DEV-81F1E167,mobile,Card,108830.73,failed,80.244.95.113,11156.4635809373,1
TXN-EAB0C413A877,USR0101,9917.57,2024-03-01T15:33:40,hyd,delhi,Travel,,mobile,,182854.59,success,172.90.83.70,,0
TXN-65FB24C04CBC,USR0040,13852.5202,2024-01-07T16:53:37,ahmedabad,ahmedabad,Fashion,DEV-2BD1F9B6,tablet,UPI,84030.65,success,117.1.243.129,,0
TXN-D2DE6EB22433,USR0114,1459.845,2024-01-14T09:55:25,delhi,delhi,Electronics,DEV-96530FB0,tablet,Card,150490.91,failed,44.174.3.143,,1
TXN-28331D67BAB1,USR0028,12355.9574809821,2024-01-24T08:27:39,kolkata,JAI,Fashion,DEV-B4F29146,tablet,NetBanking,176909.46,pending,66.183.137.138,,0
TXN-4C8FDA79CF8E,USR0092,2798.974497723,2024-02-17T19:38:37,delhi,bangalore,Fashion,,tablet,,194248.6,success,,4907.1306,0
