transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt
TXN-C5598ACA5D55,USR0079,2316 INR,"June 10, 2024 10:03 AM",HYD,HYDERABAD,Fuel,DEV-DB9FE240,mobile,UPI,142214.81,success,not_an_ip,
TXN-9064047139F7,USR0038,,20240310193143,BOM,New Delhi,Entertainment,CNP-F5B7DE35,mobile,NetBanking,6444.6,success,192.113.113.115,
TXN-C298C6F31056,USR0040,5470.77,202403072339,pune,Delhi,Food & Dining,CNP-6788046F,web,UPI,75902.53,success,192.22.58.6,
TXN-183D4BA85E7A,USR0053,1606.3800000000001091,17/02/2024 08:43:00,delhi,DELHI,Healthcare,CNP-DBC5E006,mobile,Wallet,183439.32,success,192.105.142.193,
TXN-AB0A32DFD6C9,USR0062,2466 INR,2024-04-14T06:05:02.341819,Chennai,CHENNAI,Food & Dining,DEV-361D839C,mobile,NetBanking,118140.49,success,192.43.68.81,
TXN-4AFA5505A3E8,USR0025,2021.730000000000,16/03/2024 10:22:12,ahmedabad,AHMEDABAD,Entertainment,CNP-C59CB7DD,mobile,UPI,9958.34,success,192.69.99.209,
TXN-F10BF2948A99,USR0049,3182.750000,20240321165841,Delhi,New Delhi,Utilities,CNP-2DC124B0,ATM,Wallet,92237.11,success,192.187.21.195,
TXN-868E3F46C2BA,USR0048,18991.1199999999989814,1716672685,Ahmedabad,AMD,Electronics,DEV-D1BDDD59,ATM,Wallet,63584.46,success,192.71.105.209,
TXN-B610BE382F01,USR0009,669.270000000000,1706892103,bangalore,Bengaluru,Food & Dining,DEV-4E407708,web,Card,173427.29,success,192.74.164.213,
TXN-8D60FBAF671F,USR0066,5161.6300000000001091,"February 22, 2024 04:18 AM",Ahmedabad,AMD,Clothing,NEW-6F8A8A3B,mobile,NetBanking,151189.59,pending,192.183.32.204,
TXN-16F69780DB28,USR0024,820.43,03-Mar-2024,DELHI,DELHI,Travel,DEV-??,mobile,Card,154326.82,success,438.207.705.931,
TXN-874B3A9ECDCC,USR0053,0.0,2024-02-23T05:01:23.377943,delhi,Bangalore,Fuel,CNP-DBC5E006,ATM,Card,183518.38,success,192.4.175.210,
TXN-C70B60E06442,USR0068,7123.54,2024-03-15T09:14:06.845106,hyderabad,MUMBAI,Healthcare,DEV-789650F5,ATM,Card,100984.88,success,192.77.210.158,
TXN-D9DE3B6089CD,USR0068,3138.26,20240424113648,HYDERABAD,hyderabad,Entertainment,DEV-789650F5,mobile,Wallet,107719.58,success,192.96.200.76,
TXN-78467DAD97A9,USR0062,1258.660000,1705958724,Chennai,JAIP,Food & Dining,DEV-4C7E5A01,mobile,UPI,94145.31,success,192.110.20.237,
TXN-1531A1B22483,USR0062,1682.030000000000,28/05/2024 22:59:30,Chennai,MAA,Travel,DEV-4C7E5A01,web,UPI,116504.17,success,192.158.223.187,
TXN-58830F5083FC,USR0024,5134.19,23/01/2024 12:32:11,delhi,DEL,Electronics,DEV-D11B943B,web,Wallet,154790.08,success,192.137.60.198,
TXN-31E53A3D7046,USR0030,1661.88,202405180740,lucknow,Lucknow,Education,DEV-BDB5E5F9,ATM,Wallet,67254.75,success,192.125.23.121,
TXN-8E10AF92C00C,USR0075,1678106.56,17-Apr-2024,PUNE,Pune,Education,DEV-C9E3A2CC,ATM,Card,28990.83,success,192.238.144.199,
TXN-6D25252CCD66,USR0026,3091.64,"February 26, 2024 02:55 PM",CCU,CCU,Grocery,NEW-752260E6,mobile,Card,151552.37,success,192.4.171.1,
TXN-96EE32B5A226,USR0034,1769.97,202404122106,DELHI,Bengaluru,Electronics,DEV-CA19D20B,mobile,Card,63799.92,success,192.31.222.170,
TXN-A733A84DA73F,USR0024,16566.790000,16-May-2024,DELHI,DELHI,Utilities,DEV-D11B943B,ATM,UPI,191245.66,success,192.135.61.24,
TXN-AF40E06F5BA0,USR0055,4949.96,11-Feb-2024,Chennai,chennai,Grocery,DEV-A1809503,ATM,NetBanking,185586.04,success,192.71.62.4,
TXN-6F5DD18C7D79,USR0062,589.860000,"March 13, 2024 06:45 AM",C...,Chennai,Education,DEV-C3CC0CC4,web,Card,93421.18,failed,192.202.254.8,
TXN-A4175E6B513D,USR0038,3460.48,1708680628,Mumbai,mumbai,Travel,CNP-F5B7DE35,ATM,Card,5964.45,success,192.9.195.201,
TXN-7B1BAD44BF0A,USR0041,1755.610000000000,1712495960,Delhi,Delhi,Healthcare,DEV-9FF0CC43,web,NetBanking,160018.13,success,192.28.112.148,
TXN-240688D19D23,USR0062,5895.51,2024-06-13T03:00:53.248041,Madras,Madras,Electronics,DEV-4C7E5A01,mobile,NetBanking,107725.69,success,192.46.28.60,
TXN-B262972EDF9B,USR0002,1581.270000000000,09-Feb-2024,Ahmedabad,Chennai,Utilities,DEV-646E193D,web,NetBanking,10866.61,success,192.154.165.35,
TXN-B3EC231AF032,USR0056,2719.520000,1714958637,BLR,Kolkata,Fuel,NEW-B7182D70,ATM,Card,129453.47,success,192.16.93.155,
TXN-705ED4391523,USR0062,4464.85,30/06/2024 21:16:53,Chennai,chennai,Fuel,DEV-4C7E5A01,web,Card,114235.09,success,192.0.24.99,
TXN-60192F1BA967,USR0038,5958.680000,09/03/2024 04:51:21,MUMBAI,Hyderabad,Electronics,,ATM,UPI,5316.52,success,192.168..1,
TXN-DC8F5C9193EF,USR0030,1141.12,2024-05-16T19:13:46.988222,LUCKNOW,Lucknow,Travel,NEW-98F73986,web,Card,61795.81,success,192.251.78.14,
TXN-A04F063B8BD0,USR0038,2281.070000000000,2024-04-03T06:29:33.026985,BOM,AMD,Travel,CNP-F5B7DE35,ATM,UPI,5708.11,success,192.225.238.68,
TXN-A0B80D6B16D4,USR0025,₹2038,2024-05-09T14:37:42.700596,ahmedabad,BLR,Education,DEV-1D2C9392,mobile,Wallet,10804.28,success,192.17.75.31,
TXN-1354C39EEC01,USR0040,1767.53,2024-06-05T23:42:00.044748,Pun??,Pun??,Fuel,CNP-6788046F,web,Card,72274.5,success,192.6.214.29,
TXN-3C2DC84D42DB,USR0017,₹12238,202401201059,Lucknow,LUCKNOW,Travel,DEV-881D9F5E,mobile,Card,790.31,success,192.202.169.177,
TXN-6ABFC6F498B2,USR0058,4121.55,1704406651,jaipur,MUM,Utilities,DEV-DE2E2114,ATM,Wallet,18314.84,failed,192.248.191.211,
TXN-744CE939E87C,USR0062,₹1087,2024-03-19T07:54:39.892647,CHENNAI,Madras,Utilities,DEV-C3CC0CC4,web,Card,108143.55,success,192.15.123.96,
TXN-4D1A68F88F7A,USR0039,6212.320000000000,1709935197,Ahmedabad,delhi,Clothing,CNP-EABF4ADD,mobile,Card,536.9,success,192.4.242.234,
TXN-FA4ADF4AE309,USR0018,16280.530000000001,202406050758,DEL,de,Education,DEV-83D0333B,mobile,UPI,117994.09,success,192.191.144.77,
TXN-F43764703B62,USR0041,6808.81,1718520630,DELHI,Delhi,Grocery,DEV-9FF0CC43,web,Wallet,162971.59,success,265.928.428.414,
TXN-8673837A3DA8,USR0007,884.04,20240307151627,DELHI,de,Entertainment,CNP-9D9BC32D,web,Card,153621.91,success,192.93.171.168,
TXN-317DC8B2C2F2,USR0030,2023.56,1710302996,LKO,LKO,Fuel,DEV-0B26ABB7,ATM,Wallet,65328.61,success,192.102.175.105,
TXN-73106C260E8D,USR0070,8213.4500000000007276,20240205003124,HYDERABAD,HYDERABAD,Electronics,DEV-99FD020C,ATM,Wallet,68630.98,success,192.244.196.2,
TXN-98F5FBE64A76,USR0024,1692.33,26-May-2024,DEL,delhi,Entertainment,DEV-D11B943B,mobile,Card,,failed,192.172.222.228,
TXN-8AC908163326,USR0017,4251.62,202402020024,lucknow,LKO,Electronics,DEV-16252DB5,web,UPI,825.35,success,192.24.55.168,
TXN-5E56EA33D936,USR0007,5539.76,1713249074,Delhi,Delhi,Clothing,CNP-67419E22,mobile,NetBanking,176482.19,success,192.54.254.51,
TXN-35028D8A4641,USR0062,7.78,16/05/2024 14:15:10,CHENNAI,ahmedabad,Electronics,DEV-C3CC0CC4,mobile,Card,115219.44,success,192.118.233.254,
TXN-B43D9B403319,USR0024,2842 INR,2024-06-18T17:47:23.304681,DEL,Delhi,Education,DEV-D11B943B,mobile,UPI,178256.22,success,192.175.93.30,
TXN-92D082EF693D,USR0080,222.960000,04/06/2024 07:47:59,Hyderabad,HYD,Food & Dining,DEV-4517D965,mobile,Wallet,60546.74,success,192.66.247.236,
TXN-50693646F2F2,USR0068,1313.5499999999999545,2024-03-02T00:27:17.910512,HYD,HYDERABAD,Food & Dining,DEV-9FCE613B,mobile,UPI,102275.34,success,192.76.27.3,
TXN-1F54ACF7AF97,USR0017,2435.59,2024-06-17T19:46:13.787931,Lucknow,Jaipur,Fuel,DEV-16252DB5,mobile,Card,721.12,pending,192.9.52.104,
TXN-1B4ED2258432,USR0049,,20240118153614,New Delh??,Calcutta,Healthcare,DEV-F2DE0432,mobile,Wallet,80357.93,success,192.174.181.213,
TXN-5AE5945E03EB,USR0062,1098.58,09-Jan-2024,Madras,chennai,Travel,DEV-C3CC0CC4,mobile,Wallet,95271.75,success,not_an_ip,
TXN-E89641F592A7,USR0050,11003.0599999999994907,202404241024,BENGALURU,Bangalore,Food & Dining,NEW-976656D4,web,Wallet,152916.15,success,192.164.196.108,
TXN-664DE5D45204,USR0073,949.45,27/02/2024 02:56:53,BENGALURU,Bengaluru,Travel,DEV-EA16BFF2,web,Card,146272.0,success,192.91.165.182,
TXN-2FB7AC60531D,USR0030,2096.3699999999998909,17/05/2024 21:24:57,LKO,LKO,Healthcare,DEV-0B26ABB7,ATM,Card,76807.36,success,192.31.151.53,
TXN-E81B97BA1CF2,USR0007,3309.6300000000001091,"May 23, 2024 02:17 PM",DEL,DELHI,Healthcare,CNP-67419E22,web,NetBanking,156304.95,success,192.128.103.159,
TXN-96224B528773,USR0068,9442.8999999999996362,20240516194834,HYDERABAD,Hyderabad,Entertainment,DEV-9FCE613B,mobile,Card,99044.39,success,192.66.82.150,
TXN-77F6DEB4A452,USR0002,0.0,2024-01-08T18:08:11.338302,AMD,AMD,Travel,DEV-646E193D,web,NetBanking,10418.55,success,192.206.47.90,
TXN-03CE02D1E0BD,USR0024,7559.28,"May 26, 2024 03:37 AM",DELHI,DEL,Electronics,DEV-D11B943B,mobile,NetBanking,162733.85,failed,192.168..1,
TXN-9989679F5CF1,USR0045,3005.46,20240608151821,Jaipur,jaipur,Entertainment,DEV-C4FFE174,ATM,UPI,,success,192.109.217.214,
TXN-739A695A886F,USR0045,0.01,05-May-2024,Jaipur,Jaipur,Electronics,DEV-C4FFE174,mobile,Card,77223.16,success,192.8.199.173,
TXN-01CE79602B9A,USR0002,4314.2700000000004366,2024-04-23T17:07:52.889455,Ahmed...,AMD,Travel,DEV-646E193D,web,Card,10304.84,success,192.151.73.77,
TXN-A4B253F9864D,USR0073,₹3495,202403131054,Bengaluru,Bangalore,Fuel,DEV-EA16BFF2,web,UPI,162910.76,success,192.113.129.50,
TXN-09EA96E944F2,USR0054,1844.250000000000,"March 30, 2024 01:39 PM",MAA,Chennai,Fuel,DEV-6BB77D17,mobile,Wallet,85426.75,success,192.156.78.145,
TXN-AC40A424339A,USR0062,3152.16,20240217191533,MAA,chennai,Entertainment,DEV-361D839C,ATM,UPI,111431.5,success,192.71.100.68,
TXN-42B29E79DCEC,USR0052,2190.2,13/06/2024 23:21:49,PUNE,PUNE,Education,DEV-38A2F6A1,ATM,NetBanking,121717.87,success,192.46.203.94,
TXN-EC0F1627293B,USR0054,3264 INR,"April 29, 2024 05:36 AM",Chennai,CHENNAI,Fuel,DEV-400BF957,mobile,Card,78515.74,success,192.105.184.100,
TXN-B40D3376F766,USR0040,,1714947639,pune,HYDERABAD,Fuel,CNP-6788046F,mobile,UPI,79857.4,success,192.176.249.203,
TXN-4CE8FD95D423,USR0052,5062.95,2024-02-14T15:50:04.674734,Pune,PUNE,Healthcare,DEV-38A2F6A1,web,UPI,98765.5,success,192.22.65.147,
TXN-489C8D10BDAE,USR0017,10602.16,2024-01-29T12:26:27.270804,lucknow,Luc#,Fuel,CNP-BB1C7B92,ATM,UPI,698.98,success,192.93.135.43,
TXN-130AA11CF2A0,USR0030,1107.37,1710412533,Lucknow,AHMEDABAD,Healthcare,DEV-BDB5E5F9,mobile,Wallet,59380.39,success,192.0.220.134,
TXN-1FDBF82AB85D,USR0068,16422.810000,20240602073544,HYD,DELHI,Travel,CNP-E465A145,web,Card,111761.44,success,192.3.192.168,
TXN-6533DE07020A,USR0062,625.360000,"May 06, 2024 12:33 PM",CHENNAI,CHENNAI,Food & Dining,DEV-C3CC0CC4,web,UPI,100001.55,success,192.203.70.219,
TXN-D85B2C51EC3D,USR0017,2640 INR,2024-02-01T10:01:11.533036,lucknow,LKO,Entertainment,CNP-444CACF9,web,Wallet,708.99,success,192.196.205.158,
TXN-9166B0BB6CA7,USR0025,4772.63,04/05/2024 07:58:25,AMD,lucknow,Electronics,CNP-C59CB7DD,mobile,Wallet,10072.97,success,192.202.207.151,
TXN-F19416FEAA40,USR0002,3732.35,1713287834,Ahmed...,AME,Travel,DEV-646E193D,mobile,,9612.55,success,192.174.59.206,
TXN-6D0C7FDC39D3,USR0024,1811 INR,"February 18, 2024 01:44 PM",DEL??,AHMEDABAD,Education,NEW-2E20BA3D,ATM,NetBanking,158038.66,success,192.168..1,
TXN-007CFB57D4DD,USR0002,2523.75,"March 18, 2024 11:09 AM",Ahmedabad,pune,Utilities,DEV-646E193D,mobile,UPI,10272.25,success,192.103.127.215,
TXN-BAE92231B94B,USR0017,2009.42,202405110530,Lucknow,jai,Clothing,CNP-BB1C7B92,web,Card,780.79,success,192.244.16.129,
TXN-A4828FCEF4C6,USR0068,1860.33,15/05/2024 14:03:19,Hyderabad,hyderabad,Electronics,DEV-9FCE613B,ATM,NetBanking,93081.59,success,192.190.186.219,
TXN-ABAF11EA7E02,USR0040,1.0,2024-06-07T02:24:12.283062,pune,Bangalore,Food & Dining,DEV-B3231FA3,mobile,NetBanking,75871.93,success,192.24.203.26,
TXN-C9511B0674E3,USR0009,3966.3899999999998727,19/01/2024 16:47:57,BENGALURU,Bang...,Tra#,DEV-8EF6D7F6,mobile,NetBanking,156985.04,success,192.228.40.98,
TXN-545D1680C262,USR0040,1712.44,04-May-2024,PUNE,PNQ,Electronics,DEV-B3231FA3,mobile,Wallet,79440.01,success,192.168..1,
TXN-7DA48994F08B,USR0044,6122.22,20240125064341,blr,Bangalore,Utilities,NEW-BA7AD2AB,mobile,Wallet,31997.29,success,192.43.199.80,
